iter	Passed	Remaining
695	824	359
696	824	358
697	825	357
698	826	356
699	827	354
700	828	353
701	829	352
702	830	350
703	831	349
704	833	348
705	834	347
706	835	346
707	836	344
708	837	343
709	838	342
710	838	341
711	839	339
712	840	338
713	841	337
714	842	335
715	843	334
716	844	333
717	846	332
718	847	331
719	849	330
720	850	328
721	851	327
722	852	326
723	853	325
724	854	323
725	855	322
726	856	321
727	857	320
728	858	319
729	859	317
730	860	316
731	862	315
732	864	314
733	865	313
734	866	312
735	867	311
736	868	309
737	869	308
738	870	307
739	870	305
740	871	304
741	872	303
742	873	302
743	874	300
744	876	299
745	877	298
746	878	297
747	879	296
748	880	295
749	881	293
750	882	292
751	883	291
752	884	289
753	884	288
754	885	287
755	886	286
756	887	284
757	888	283
758	890	282
759	892	281
760	893	280
761	894	279
762	896	278
763	897	277
764	898	275
765	898	274
766	899	273
767	900	272
768	901	270
769	902	269
770	903	268
771	904	267
772	905	265
773	906	264
774	907	263
775	908	262
776	909	261
777	910	259
778	912	258
779	912	257
780	913	256
781	914	254
782	915	253
783	916	252
784	917	251
785	918	250
786	919	248
787	920	247
788	921	246
789	922	245
790	923	244
791	924	242
792	925	241
793	926	240
794	927	239
795	928	237
796	929	236
797	930	235
798	930	234
799	931	232
800	932	231
801	933	230
802	934	229
803	935	228
804	937	226
805	937	225
806	938	224
807	939	223
808	940	222
809	941	220
810	942	219
811	943	218
812	943	217
813	944	215
814	945	214
815	946	213
816	947	212
817	948	211
818	949	209
819	950	208
820	951	207
821	952	206
822	953	205
823	954	203
824	955	202
825	956	201
826	956	200
827	957	198
828	958	197
829	959	196
830	960	195
831	961	194
832	962	192
833	962	191
834	963	190
835	965	189
836	966	188
837	967	187
838	968	185
839	969	184
840	970	183
841	971	182
842	972	181
843	973	179
844	973	178
845	974	177
846	975	176
847	976	175
848	977	173
849	978	172
850	979	171
851	981	170
852	982	169
853	983	168
854	984	166
855	985	165
856	986	164
857	987	163
858	987	162
859	988	160
860	989	159
861	990	158
862	991	157
863	992	156
864	993	155
865	994	153
866	995	152
867	996	151
868	997	150
869	998	149
870	999	148
871	1000	146
872	1000	145
873	1002	144
874	1003	143
875	1004	142
876	1005	140
877	1006	139
878	1007	138
879	1008	137
880	1009	136
881	1010	135
882	1011	134
883	1012	132
884	1013	131
885	1014	130
886	1015	129
887	1016	128
888	1017	127
889	1018	125
890	1019	124
891	1019	123
892	1020	122
893	1021	121
894	1022	119
895	1023	118
896	1024	117
897	1026	116
898	1027	115
899	1028	114
900	1030	113
901	1031	112
902	1031	110
903	1032	109
904	1033	108
905	1034	107
906	1034	106
907	1035	104
908	1036	103
909	1037	102
910	1038	101
911	1039	100
912	1040	99
913	1041	97
914	1042	96
915	1043	95
916	1043	94
917	1044	93
918	1045	92
919	1046	90
920	1046	89
921	1047	88
922	1048	87
923	1049	86
924	1050	85
925	1051	84
926	1053	82
927	1054	81
928	1055	80
929	1056	79
930	1057	78
931	1058	77
932	1059	76
933	1060	74
934	1060	73
935	1061	72
936	1062	71
937	1063	70
938	1063	69
939	1064	67
940	1065	66
941	1066	65
